StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q104,Q2,Q3,Q4,Q6,Q8,Q10,Q9,Q105,Q12,Q12_1_TEXT,Q12_2_TEXT,Q12_3_TEXT,Q12_4_TEXT,Q12_5_TEXT,Q12_6_TEXT,Q12_7_TEXT,Q16,Q17,Q19,Q18,Q20_1,Q34,Q35,Q26,Q27,Q28,Q28_1_TEXT,Q28_2_TEXT,Q28_3_TEXT,Q28_4_TEXT,Q28_5_TEXT,Q28_6_TEXT,Q28_7_TEXT,Q29,Q36_1,Q37,Q107,Q109,Q31,Q28,Q29TITOYW,Q29_20_TEXT,Q30,Q31,Q32,Q34,Q34_20_TEXT,Q35,Q36,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q44_1_TEXT,Q45,Q45_1_TEXT,Q49,Q49_1_TEXT,Q46,Q46_1_TEXT,Q47,Q50,Q51,Q97_4,Q98,Q52,Q99_4,Q100,Q53,Q101_4,Q102,Q54,Q55,Q56,Q57,Q58_1,Q59,Q59_4_TEXT,Q60,Q61,Q62_1,Q63,Q63_4_TEXT,Q64_1,Q65,Q66,Q66_9_TEXT,Q68,Q69,Q71,Q73_1,Q74,Q76,Q75,Q77,Q78,Q79,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90_1,Q90_2,Q91_1,Q106,Q92,Q92_10_TEXT,Q93,Q28_3_TEXT - Parent Topics,Q28_3_TEXT - Sentiment Polarity,Q28_3_TEXT - Sentiment Score,Q28_3_TEXT - Sentiment,Q28_3_TEXT - Topic Sentiment Label,Q28_3_TEXT - Topic Sentiment Score,Q28_3_TEXT - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you live in Massachusetts?,"In general, I consider myself:","Compared to most of my peers, I consider myself:","Some people are generally very happy. They enjoy life regardless of what is going on, getting the most of everything. To what extent does this characterization describe you?","Some people are generally not very happy. Although they are not dependent, they never seem as happy as they might be. To what extent does this characterization describe you?",Is there anything about your well-being you’d like to add that you feel has not been included in this section but is important to you?,Are there any experiences/stories you’d like to share that correspond to how you answered one of the questions above?,"Before joining the Peace Corps, did you regularly voluntarily participate in public service?","How many hours a month did you spend participating in public service? Please write answers numerically, without any words (units are hours/month).","Of those hours, how many were spent on each of the following: - Selected Choice","Of those hours, how many were spent on each of the following: - Religious organizations - Text","Of those hours, how many were spent on each of the following: - Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)? - Text","Of those hours, how many were spent on each of the following: - Internships/Unpaid Position in the non-profit or government sector? - Text","Of those hours, how many were spent on each of the following: - Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)? - Text","Of those hours, how many were spent on each of the following: - Cause-specific domestic fundraising organizations / charities (e.g. American Heart Association, Walk for Alzheimer’s)? - Text","Of those hours, how many were spent on each of the following: - International organizations? - Text","Of those hours, how many were spent on each of the following: - Other form of public service? - Text",Please describe the kind of public service you did if not included in the above list.,"Before joining the Peace Corps, did you work in the public sector/for the government?",Was your work paid or unpaid ?,Check which best describes your employer.,"Before joining the Peace Corps, what percent of your income did you donate to non-political charitable organizations? - Percent of income donated to non-political charitable organizations","On average, how many hours a week do you currently spend doing volunteer work?",Please describe any and all volunteer work you do in your community.,Do you currently regularly volunteer?,How many hours a month do you spend volunteering?,"Of those hours, how many are spent on each of the following? Please write answers numerically, without any words (units are hours/month). - Selected Choice","Of those hours, how many are spent on each of the following? Please write answers numerically, without any words (units are hours/month). - Religious Organizations - Text","Of those hours, how many are spent on each of the following? Please write answers numerically, without any words (units are hours/month). - Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)? - Text","Of those hours, how many are spent on each of the following? Please write answers numerically, without any words (units are hours/month). - Internships/Unpaid Position in the non-profit or government sector? - Text","Of those hours, how many are spent on each of the following? Please write answers numerically, without any words (units are hours/month). - Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)? - Text","Of those hours, how many are spent on each of the following? Please write answers numerically, without any words (units are hours/month). - Cause-specific domestic fundraising organizations / charities (e.g. American Heart Association, Walk for Alzheimer’s)? - Text","Of those hours, how many are spent on each of the following? Please write answers numerically, without any words (units are hours/month). - International organizations? - Text","Of those hours, how many are spent on each of the following? Please write answers numerically, without any words (units are hours/month). - Other form of volunteering? - Text",Please describe the kind of volunteering you do if not included in the above list.,"After returning from the Peace Corps, what percent of your income (or amount) do you currently donate to non-political charitable organizations? - Percent of income donated to non-political charitable organizations","Since returning from the Peace Corps, have you ever worked in the public sector/for the government?",Was your work paid or unpaid ?,Check which best describes your employer.,Do you currently work in any public sector/governmental position?,What is your current employment status?,What job sector do you currently work in? - Selected Choice,What job sector do you currently work in? - Other (please specficy) - Text,"What is the title of your current occupation (if not applicable, write “N/A”)?",How many different full-time jobs have you held since leaving the Peace Corps?,Please list the most important jobs you have held since your time in the Peace Corps.,What job sector do you currently work in? - Selected Choice,What job sector do you currently work in? - Other (please specficy) - Text,How long have you been working in your current occupation?,How many promotions have you gotten at your current job?,My work and effort is valued at my current job.,I maintain a good work-life balance.,My workplace offers adequate opportunities for promotion and career advancement.,I am happy with my current job.,"At my job, I am able to apply skills and abilities I gained during my work with the Peace Corps.",My job has a positive impact on my immediate community.,"Did you gain proficiency in any language during your time as a Peace Corps volunteer? If so, in what language(s)? - Selected Choice","Did you gain proficiency in any language during your time as a Peace Corps volunteer? If so, in what language(s)? - Yes (please specify) - Text",Did your service in the Peace Corps improve your ability to work in teams? How so? - Selected Choice,Did your service in the Peace Corps improve your ability to work in teams? How so? - Yes (please specify) - Text,Did your service in the Peace Corps improve your ability to think critically about problem solving? - Selected Choice,Did your service in the Peace Corps improve your ability to think critically about problem solving? - Yes (please specify) - Text,Did your service in the Peace Corps improve your ability to adapt and solve problems in diverse environments? How so? - Selected Choice,Did your service in the Peace Corps improve your ability to adapt and solve problems in diverse environments? How so? - Yes (please specify) - Text,Please describe any key skills you gained as a Peace Corps volunteer that have helped your career path or at your current job.,Do you consider voting to be a civic duty?,Had you voted in local elections before you joined the Peace Corps?,How many times? - Percentage of times voted in local elections before joining the Peace Corps,Did you ever not vote in an election?,Had you voted in state elections before you joined the Peace Corps?,How many times? - Percentage of times voted in state elections before joining the Peace Corps,Did you ever not vote in an election?,Had you voted in federal elections while eligible before you joined the Peace Corps?,How many times? - Percentage of times voted in federal elections before joining the Peace Corps,Did you ever not vote in an election?,Did you vote in your state’s primary or caucus for President in 2020?,How likely is it that you will vote in the general election for President in November 2020?,"Have you ever considered running for office (be it in a local, state, or federal capacity)?","Have you ever held office (be it in a local, state, or federal level) in any capacity?",How many times? - Number of Times,At what levels? - Selected Choice,At what levels? - Other - Text,How long did you hold office for?,"Have you ever been a part of any political campaign (in an organizing role, for example, either paid or unpaid)?",How many times? - Number of Times,At what levels? - Selected Choice,At what levels? - Other - Text,How many hours a month did you spend working for the campaign (paid or unpaid)? - Hours/month,Have you ever been a part of any political action group (paid or unpaid)?,What kind of political action group? - Selected Choice,What kind of political action group? - Other (please specify): - Text,With what frequency did you work in this capacity?,Have you ever donated to any political campaign/cause?,"In your opinion, has your service in the Peace Corps made you more likely to vote?",Which year were you born? - Year,In which state did you spend the majority of your childhood/adolescence?,In which town or city did you spend the majority of your childhood/adolescence?,"Did you grow up in urban, suburban, or rural area?","Do you currently live in an urban, suburban, or rural area?","Growing up, what was your family’s economic situation compared to the average family?",Which of your parents went to college?,Do you currently or have you ever held student loan debt?,What is your current socioeconomic status?,In what range is your current annual salary?,With which race(s) do you identify?,"Regardless of your race, are you Latino?","Regardless of your race, are you of Middle Eastern origin?",With which gender do you identify?,Are you married?,What is your highest level of completed education?,"If you attended college, was your major natural sciences, social sciences, humanities or other?",What years did you serve in the Peace Corps? - Start Year,What years did you serve in the Peace Corps? - End Year,How long (in months) did you serve in the Peace Corps? - Number of Months Serving in the Peace Corps,In what country (or countries) did you serve?,How did you find out about Peace Corps? - Selected Choice,How did you find out about Peace Corps? - Other - Text,Why did you join a Peace Corps alumni organization?,Q28_3_TEXT - Parent Topics,Q28_3_TEXT - Sentiment Polarity,Q28_3_TEXT - Sentiment Score,Q28_3_TEXT - Sentiment,Q28_3_TEXT - Topic Sentiment Label,Q28_3_TEXT - Topic Sentiment Score,Q28_3_TEXT - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID116""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID117_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_1_TEXT""}","{""ImportId"":""QID12_2_TEXT""}","{""ImportId"":""QID12_3_TEXT""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID12_5_TEXT""}","{""ImportId"":""QID12_6_TEXT""}","{""ImportId"":""QID12_7_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_1_TEXT""}","{""ImportId"":""QID28_2_TEXT""}","{""ImportId"":""QID28_3_TEXT""}","{""ImportId"":""QID28_4_TEXT""}","{""ImportId"":""QID28_5_TEXT""}","{""ImportId"":""QID28_6_TEXT""}","{""ImportId"":""QID28_7_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37""}","{""ImportId"":""QID119""}","{""ImportId"":""QID121""}","{""ImportId"":""QID31""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID41_20_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_20_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID56_1_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID57_1_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID61_1_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID58_1_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID109_4""}","{""ImportId"":""QID110""}","{""ImportId"":""QID64""}","{""ImportId"":""QID111_4""}","{""ImportId"":""QID112""}","{""ImportId"":""QID65""}","{""ImportId"":""QID113_4""}","{""ImportId"":""QID114""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71""}","{""ImportId"":""QID71_4_TEXT""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID75""}","{""ImportId"":""QID75_4_TEXT""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID78_9_TEXT""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID83""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID86""}","{""ImportId"":""QID88_TEXT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID102_2""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID118_TEXT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID104_10_TEXT""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID28_3_TEXT_b046cf7dfdf44d1891f0b167ParTopics""}","{""ImportId"":""QID28_3_TEXT_b046cf7dfdf44d1891f0b167SenPol""}","{""ImportId"":""QID28_3_TEXT_b046cf7dfdf44d1891f0b167SenScore""}","{""ImportId"":""QID28_3_TEXT_b046cf7dfdf44d1891f0b167Sentiment""}","{""ImportId"":""QID28_3_TEXT_b046cf7dfdf44d1891f0b167TopicSenLabel""}","{""ImportId"":""QID28_3_TEXT_b046cf7dfdf44d1891f0b167TopicSenScore""}","{""ImportId"":""QID28_3_TEXT_b046cf7dfdf44d1891f0b167Topics""}"
4/6/2020 20:51,4/6/2020 21:01,IP Address,71.237.237.49,100,573,TRUE,4/6/2020 21:01,R_d9UZdc6TuNCIG7T,,,,,45.52209473,-122.8585052,anonymous,EN,Yes,moderately happy,much happier,6-,2-,,,Yes,12,"Religious organizations,Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?,Cause-specific domestic fundraising organizations / charities (e.g. American Heart Association, Walk for Alzheimer’s)?",3,3,,3,3,,,,Yes,Unpaid,Local Government,30,8+,,Yes,12,"Cause-specific domestic fundraising organizations / charities (e.g. American Heart Association, Walk for Alzheimer’s)?",,,,,3,,,,30,Yes,Unpaid,Local Government,,"Employed, at work",Manufacturing,,N/A,2,"Parent, Operating Manager",,,,2,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,,No,,No,,No,,,Yes,Yes,100,No,Yes,100,No,Yes,100,No,Yes,High confidence,No,No,,,,,After Peace Corps service,2,Federal,,15,No,,,N/A or Prefer not to answer,Both,Prefer not to answer,1966,Delaware,Edgemoor,Suburban,Suburban,About the same,Neither,Prefer not to answer,Middle class,"$75,000 - $150,000",White (including Middle Eastern origin and Latino),No,No,Male,Divorced,Some 4-year college,Social sciences,1988,1992,48,"Cameroon, Togo ",Alumni,,,,,,,,,
4/7/2020 12:06,4/7/2020 12:19,IP Address,76.93.232.191,100,794,TRUE,4/7/2020 12:19,R_1qdKOCF2qwyt1eM,,,,,33.79829407,-116.5106049,anonymous,EN,Yes,moderately happy,moderately happier,6-,3-,I tend to find silver linings in all events (after the fact and during) ,"Yes- I was evacuated from my host country for a natural disaster. During the event I was devastated but after the fact, I had realized that it made me into a stronger woman. I saw the positives that came out of my experiences and now I’m really tough situations, I am able to find the good. Currently in quarantine, my colleagues and family are in a state of shock, anger and sadness. All valid. However, I see this experience as a way to re connect with old friends, spend time with my family and learn more about each other.  ",Yes,20,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Internships/Unpaid Position in the non-profit or government sector?,Cause-specific domestic fundraising organizations / charities (e.g. American Heart Association, Walk for Alzheimer’s)?,International organizations?",,5,5,,5,5,,,No,,,,0,Currently I am a student and don’t have the time commitment to continue,No,,,,,,,,,,,,,,,,,,,,,,,,,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Yes (please specify),Yes -Spanish,Yes (please specify),Yes- working with people from all walks and roads of life- culture competency ,Yes (please specify),Yes- finding alternatives and working for innovation ,Yes (please specify),Yes,,Yes,Yes,80,Yes,Yes,80,Yes,Yes,100,No,Yes,High confidence,No,No,,,,,No,,,,,No,,,,,Yes,1993,Massachusetts,Rockport,Suburban,Urban,About the same,Mother,Yes,Lowest,"$0 - $25,000",White (including Middle Eastern origin and Latino),No,No,Female,Single (never married),Advanced Degree,Natural sciences,2016,2018,24,Peru,Friend,,To connect with other RPCVs,,,,,,,
4/7/2020 12:14,4/7/2020 12:25,IP Address,66.30.9.98,100,687,TRUE,4/7/2020 12:25,R_UgTzRJUu9fctnEJ,,,,,42.37969971,-71.10340118,anonymous,EN,Yes,moderately happy,slightly happier,5-,2-,no,"sense of happiness fluctuated during service, but did even out eventually",Yes,8,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?",,8,,,,,,,No,,,,0,I was a part of the Covid global evac. I have not yet had time to find volunteer opportunities. But hope to eventually return to average of 2 hours a week. ,No,,,,,,,,,,,,,,,,,,,,,,,,,2,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,,Yes (please specify),Navigating multiple community partnerships and balancing power dynamics within those settings while remaining effective PCV,Yes (please specify),I had to think more creatively due to lack of/different types of resources available than I was accustomed to,Yes (please specify),I had to think more creatively due to lack of/different types of resources available than I was accustomed to,self-advocacy,Yes,Yes,80,Yes,Yes,81,Yes,Yes,100,No,No,High confidence,Both,No,,,,,No,,,,,No,,,,,No,1992,California,Lake Arrowhead,Rural,Urban,Slightly better off,Mother,Yes,Lower middle class,"$25,001 - $75,000",Asian (including Indian subcontinent and Philippines origin)*,No,No,Female,Single (never married),Advanced Degree,Social sciences,2018,2020,21,Guyana,Other,movie: Shallow Hall Meets a Gal,to stay connected with community and find further service opportunities,,,,,,,
4/7/2020 12:17,4/7/2020 12:26,IP Address,209.6.217.192,100,592,TRUE,4/7/2020 12:26,R_1CscKJJpAsulxjQ,,,,,42.37969971,-71.10340118,anonymous,EN,Yes,moderately happy,slightly happier,5-,4- neutral,this is subjective to the point of being unanswerable,,No,,,,,,,,,,,No,,,,4-Feb,mutual aid/grassroots organizing,No,,,,,,,,,,,,,,,,,,,,,,,,,0,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Yes (please specify),spanish,Yes (please specify),I became more cross culturally literate and able to identify my united statesienism,Yes (please specify),I got more creative,Yes (please specify),I had to learn more cultures,Spanish and cross cultural skills,Yes,No,,,,,,No,,,Yes,High confidence,After Peace Corps service,No,,,,,No,,,,,No,,,,After Peace Corps service,Yes,1982,California,,Urban,Urban,Slightly worse off,Neither,Yes,Middle class,"$75,000 - $150,000","Asian (including Indian subcontinent and Philippines origin)*,White (including Middle Eastern origin and Latino)",No,No,Female,Single (never married),Advanced Degree,Natural sciences,2006,2009,28,Bolivia and Ecuador,Friend,,Cause I didn't know anyone in town,,,,,,,
4/7/2020 12:07,4/7/2020 12:35,IP Address,76.19.96.233,100,1647,TRUE,4/7/2020 12:35,R_0wcKFcd702MrGGR,,,,,42.2973938,-71.07219696,anonymous,EN,Yes,moderately happy,slightly happier,6-,2-,"I find it hard to have one definition of happiness, so it's difficult to measure something I can't define. ",,Yes,15,"Religious organizations,Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Internships/Unpaid Position in the non-profit or government sector?",7,8,,,,,,,No,,,0,0,"I work for an organization that engages high school students in weekly volunteer work. I serve with them, but because it's part of my job, I wouldn't say I'm volunteering.  ",No,,,,,,,,,,,,,,,,,,,,,,,,,0,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Yes (please specify),French,Yes (please specify),I learned team dynamics and how to balance the needs and availability of different stakeholders to work together. ,Yes (please specify),"I learned different ways of getting the same results. This was because we often didn't have many resources we have here in the US available to us in our host countries. Learning to improvise and ""shift gears"" was a skill I had to learn quickly. ",Yes (please specify),"I was the only American in my village, I had to learn and understand the way my neighbors, colleagues, and partners thought so I could better support them and meet their specific needs. Adapting was crucial, some ways we do things here in the US just wouldn't work in my host country.  ","Communication, multitasking, prioritizing, monitoring and evaluation, project planning and execution, facilitating trainings, community outreach",No,Yes,2,No,No,,,Yes,1,No,Yes,High confidence,No,No,,,,,No,,,,,No,Other (please specify):,N/A,N/A or Prefer not to answer,,No,1989,Florida,Orlando,Suburban,Urban,About the same,Both,No,Lower middle class,"$25,001 - $75,000",American Indian or Alaska Native,Yes,No,Female,Single (never married),4-year college graudate,Humanities,2015,2018,39,Togo,Other,Recruiter,To stay informed of what's going on in the organization.,,,,,,,
4/7/2020 12:36,4/7/2020 12:48,IP Address,71.199.48.124,100,716,TRUE,4/7/2020 12:48,R_3032i88jHwfs8V1,,,,,40.69810486,-111.9999008,anonymous,EN,No,moderately happy,about the same,2-,2-,,,Yes,20,"Religious organizations,Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Internships/Unpaid Position in the non-profit or government sector?,Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?,Cause-specific domestic fundraising organizations / charities (e.g. American Heart Association, Walk for Alzheimer’s)?,International organizations?,Other form of public service?",0,0,20,0,0,0,0,,No,,,,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Yes (please specify),Armenian,Yes (please specify),Co-directing a Camp with fellow PCVs was only able to work because we worked so well as a team,Yes (please specify),Getting creative when things went wrong,Yes (please specify),It did because a lot of times things didn’t go as planned so we had to be flexible,Project Management skills,Yes,No,,,,,,No,,,Yes,High confidence,No,No,,,,,No,,,,,No,,,N/A or Prefer not to answer,After Peace Corps service,Yes,1994,Utah,West Valley,Suburban,Suburban,Slightly better off,Both,No,Lowest,"$0 - $25,000",Other,Yes,No,Female,Single (never married),4-year college graudate,Humanities,2018,2020,24,Armenia,Friend,,,,,,,,,
4/7/2020 13:01,4/7/2020 13:15,IP Address,209.6.47.108,100,816,TRUE,4/7/2020 13:15,R_DeihX690Up6qFP3,,,,,42.39959717,-71.12460327,anonymous,EN,Yes,moderately happy,slightly happier,6-,3-,,,Yes,10 hours/month,"Community organizations (e.g. neighbourhood safety, tutoring, street clean-up)?,Internships/Unpaid Position in the non-profit or government sector?,Institutional/Educational (e.g. museum tour guide, PTA, Board of Directors)?",,Tutoring,Internship,Girl scouts,,,,,No,,,5,2-Jan,Programming for student clubs,Yes,3-Feb,Internships/Unpaid Position in the non-profit or government sector?,,,University clubs,,,,,,5,Yes,Unpaid,Federal Government,No,"Not in labor force, student",Student,,Student,1,,Student,,Between 6 months and 1 year,0,,Somewhat agree,,,Strongly agree,,Yes (please specify),Spanish ,Yes (please specify),Working with cross cultural and across authority structures,Yes (please specify),Reciliency ,Yes (please specify),Solution oriented,,Yes,Yes,53,No,Yes,0,,Yes,4,No,No,High confidence,No,No,,,,,No,,,,,No,,,N/A or Prefer not to answer,,No,1989,New York,Brookhaven,Rural,Suburban,Slightly better off,Mother,Yes,Lower middle class,"$0 - $25,000",White (including Middle Eastern origin and Latino),No,No,Female,Single (never married),Advanced Degree,Social sciences,2015,2017,27,Panama,Website,,,,0,-1,Negative,,,Unknown
4/7/2020 13:08,4/7/2020 13:24,IP Address,65.96.103.69,100,928,TRUE,4/7/2020 13:24,R_YXM5RqDFvuu0zLz,,,,,41.75489807,-70.71050262,anonymous,EN,Yes,moderately happy,moderately happier,6-,1- not at all,"practicality, innovative, determined, common sensical, etc.","Surveys don't accommodate life ""stories.""",No,,,,,,,,,,,No,,,10,2-Jan,Parish-related support (various),No,,,,,,,,,,,,,,,,,,,,,,,,,4+,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Yes (please specify),French,Yes (please specify),Deepened understanding of collgiality,Yes (please specify),Prospering in a different culture entails continuous analysis and differential consideration.,Yes (please specify),One learns to SURVIVE in comparatively more difficult or less advanced cultures.,"Management, interpersonal engagement, foreign languages, advanced analytical skills, etc.",Yes,Yes,82,No,Yes,61,No,Yes,99,No,Yes,High confidence,After Peace Corps service,After Peace Corps service,7,Local,,22 years (7 elected terms),After Peace Corps service,1,Federal,,8,No,Other (please specify):,None,N/A or Prefer not to answer,After Peace Corps service,Yes,1950,Massachusetts,Milton,Suburban,Rural,Slightly better off,Neither,Yes,Middle class,"$75,000 - $150,000",White (including Middle Eastern origin and Latino),No,No,Male,Married,Advanced Degree,Humanities,1974,1976,27,Mali,Other,General awareness,Peace Corps needs RPCV support post-COS.,,,,,,,
